127.0.0.1 - - [27/Dec/2022:16:03:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:03:01 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:03:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:03:18 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:03:47 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:03:47 +0900] "GET /Culvers/style.css HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:06:04 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:06:04 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:06:53 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:06:53 +0900] "GET /Culvers/logo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:06:53 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:06 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:06 +0900] "GET /Culvers/logo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:07 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:07 +0900] "GET /Culvers/logo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:07 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:07 +0900] "GET /Culvers/logo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:07 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:07:07 +0900] "GET /Culvers/logo HTTP/1.1" 200 -
